date,symbol,open,high,low,close,volume,volume to
2018-10-03,BTCEUR,5646,5650,5551,5624.99,817.82,4584669.55
2018-10-02,BTCEUR,5687.45,5710.16,5616.66,5646,623.53,3540836.82
2018-10-01,BTCEUR,5703.31,5725.54,5615,5687.45,755.08,4290044.5
2018-09-30,BTCEUR,5680,5737.18,5640,5703.31,466.79,2655833.47
2018-09-29,BTCEUR,5718.55,5718.55,5591.72,5680,573.21,3241975.2
2018-09-28,BTCEUR,5742.8,5843.07,5650.01,5718.55,1048.83,6023847.17
2018-09-27,BTCEUR,5509.02,5784.3,5506,5742.8,955.2,5375695.92
2018-09-26,BTCEUR,5478.13,5580,5440.91,5509.02,781.99,4323734.74
2018-09-25,BTCEUR,5605.8,5605.8,5402,5478.13,1121.08,6127411.5
2018-09-24,BTCEUR,5722.87,5729.66,5600.02,5605.8,771.59,4350629.55
2018-09-23,BTCEUR,5725.74,5768,5677.52,5722.87,451.46,2583235.31
2018-09-22,BTCEUR,5760,5800,5640,5725.74,591.4,3376766.99
2018-09-21,BTCEUR,5524.44,5775,5522.01,5760,1490.99,8483578.02
2018-09-20,BTCEUR,5475,5554,5410,5524.44,681.35,3733316.57
2018-09-19,BTCEUR,5448,5580,5263.16,5475,1114.5,6051577.23
2018-09-18,BTCEUR,5372,5469,5348.17,5448,847.08,4579849.8
2018-09-17,BTCEUR,5597.74,5617.84,5324,5372,1241.1,6756356.76
2018-09-16,BTCEUR,5624.31,5624.31,5518.37,5597.74,376.28,2100177.92
2018-09-15,BTCEUR,5588.65,5668.01,5579.98,5624.31,409.85,2305001.59
2018-09-14,BTCEUR,5557.11,5631.3,5470.17,5588.65,1028.28,5722735.09
2018-09-13,BTCEUR,5453.75,5600,5453.75,5557.11,1208.55,6705103.08
2018-09-12,BTCEUR,5422.51,5469.61,5350,5453.75,924.94,4998379.4
2018-09-11,BTCEUR,5454.16,5527.91,5325.69,5422.51,1114.78,6041689.5
2018-09-10,BTCEUR,5409.4,5514.29,5393,5454.16,897.05,4883781.96
2018-09-09,BTCEUR,5380.77,5579,5368,5409.4,647.16,3552199.24
2018-09-08,BTCEUR,5529,5600,5338,5380.77,1008.3,5511903.68
2018-09-07,BTCEUR,5602.3,5646.85,5450.62,5529,1047.26,5824457.15
2018-09-06,BTCEUR,5758.62,5770.88,5415.74,5602.3,2236.29,12380896.76
2018-09-05,BTCEUR,6357.17,6400,5734.84,5758.62,2536.88,15363862.55
2018-09-04,BTCEUR,6261.3,6426.9,6248.4,6357.17,1049.85,6671837.07
2018-09-03,BTCEUR,6289.22,6322,6206.7,6261.3,985.29,6168914.22
2018-09-02,BTCEUR,6189.91,6332.53,6152.5,6289.22,882.73,5529308.15
2018-09-01,BTCEUR,6042,6248.4,6042,6189.91,840.96,5174182.91
2018-08-31,BTCEUR,5986.82,6097.5,5927.5,6042,919.89,5523045.59
2018-08-30,BTCEUR,6010,6024,5828.38,5986.82,1239.96,7328896.73
2018-08-29,BTCEUR,6061,6112.28,5914.35,6010,1324.22,7984285.01
2018-08-28,BTCEUR,5906.79,6108.42,5885.6,6061,1862.96,11191216.76
2018-08-27,BTCEUR,5760.61,5925,5739.08,5906.79,859.84,4983118.61
2018-08-26,BTCEUR,5795.56,5817.33,5659.18,5760.61,546.0,3139075.86
2018-08-25,BTCEUR,5759.43,5833.12,5721,5795.56,583.27,3370817.33
2018-08-24,BTCEUR,5662.61,5777.96,5580,5759.43,962.09,5452412.36
2018-08-23,BTCEUR,5493.07,5686,5490.53,5662.61,815.94,4551602.46
2018-08-22,BTCEUR,5602.96,5944.09,5415.18,5493.07,1956.17,11105102.0
2018-08-21,BTCEUR,5470,5631,5465,5602.96,763.54,4257982.6
2018-08-20,BTCEUR,5672.46,5707,5450,5470,995.47,5599489.37
2018-08-19,BTCEUR,5624.72,5718.21,5571,5672.46,702.05,3951982.07
2018-08-18,BTCEUR,5749,5798,5560,5624.72,693.75,3924351.74
2018-08-17,BTCEUR,5565.8,5769,5545.48,5749,1287.76,7338756.8
2018-08-16,BTCEUR,5540.02,5698,5477.88,5565.8,1441.31,8072951.72
2018-08-15,BTCEUR,5469.01,5850,5463.39,5540.02,2435.57,13801928.64
2018-08-14,BTCEUR,5500.67,5500.67,5200,5469.01,2114.49,11271344.69
2018-08-13,BTCEUR,5560,5764,5411.96,5500.67,1461.51,8162473.67
2018-08-12,BTCEUR,5399.95,5399.95,5399.95,5399.95,0.0,0.0
2018-08-11,BTCEUR,5400,5452.8,5310,5399.95,496.07,2675133.14
2018-08-10,BTCEUR,5700.02,5729.86,5300,5400,1809.96,10037419.22
2018-08-09,BTCEUR,5420,5775,5355.01,5700.02,1687.18,9401225.68
2018-08-08,BTCEUR,5802,5807.64,5266.75,5420,2173.15,12030403.85
2018-08-07,BTCEUR,6010,6169.86,5754.36,5802,1548.57,9300576.31
2018-08-06,BTCEUR,6085.66,6188.83,5915.68,6010,1132.55,6835070.45
2018-08-05,BTCEUR,6055.72,6134.15,5958,6085.66,855.71,5177728.85
2018-08-04,BTCEUR,6415,6470,6000,6055.72,1329.89,8207408.38
2018-08-03,BTCEUR,6510.31,6514.84,6311,6415,1420.73,9092260.95
