date,symbol,open,high,low,close,volume,volume To
2018-10-03,BTCGBP,5046.54,5054.74,4950,5006,369.78,1842197.37
2018-10-02,BTCGBP,5074.14,5095,5000.04,5046.54,360.53,1822190.29
2018-10-01,BTCGBP,5077.86,5100.01,4979.99,5074.14,411.79,2083637.47
2018-09-30,BTCGBP,5124.32,5140,5008.46,5077.86,288.8,1470771.61
2018-09-29,BTCGBP,5139.89,5143.92,5005.9,5124.32,224.71,1144136.86
2018-09-28,BTCGBP,5129.52,5218.47,5015.31,5139.89,392.29,2009831.33
2018-09-27,BTCGBP,4919.35,5165.67,4915.03,5129.52,342.55,1715876.25
2018-09-26,BTCGBP,4920,4996.23,4868.18,4919.35,358.08,1767843.71
2018-09-25,BTCGBP,5019.59,5029.74,4815.83,4920,472.46,2308693.29
2018-09-24,BTCGBP,5141.02,5157.21,5011.01,5019.59,313.87,1587763.97
2018-09-23,BTCGBP,5199,5250,5116.38,5141.02,240.96,1246464.23
2018-09-22,BTCGBP,5214.97,5291.75,5086.01,5199,268.75,1388599.08
2018-09-21,BTCGBP,4935.99,5220,4921.28,5214.97,561.41,2870613.6
2018-09-20,BTCGBP,4872.5,4963,4810,4935.99,326.86,1591064.98
2018-09-19,BTCGBP,4851.2,4969,4692,4872.5,369.79,1783139.83
2018-09-18,BTCGBP,4769.49,4880.32,4750,4851.2,340.76,1639489.27
2018-09-17,BTCGBP,5011.04,5030.93,4725.25,4769.49,425.74,2063061.19
2018-09-16,BTCGBP,5085.99,5089.99,4960,5011.04,213.6,1073020.03
2018-09-15,BTCGBP,5000,5114.48,5000,5085.99,219.49,1113057.98
2018-09-14,BTCGBP,4960.14,5034.82,4901.5,5000,333.04,1655028.09
2018-09-13,BTCGBP,4860.5,5000,4860.5,4960.14,399.95,1981520.01
2018-09-12,BTCGBP,4845.13,4878.99,4770,4860.5,445.44,2148504.54
2018-09-11,BTCGBP,4867.12,4919.44,4753.8,4845.13,342.47,1656039.74
2018-09-10,BTCGBP,4879.53,4950,4810,4867.12,428.04,2082474.3
2018-09-09,BTCGBP,4998.46,5129.99,4865.7,4879.53,336.2,1687068.65
2018-09-08,BTCGBP,5007.97,5164.99,4895.01,4998.46,362.85,1826616.03
2018-09-07,BTCGBP,5060,5090.34,4910.01,5007.97,376.46,1881285.24
2018-09-06,BTCGBP,5195,5200,4830,5060,829.71,4143370.82
2018-09-05,BTCGBP,5740.04,5775,5170.59,5195,635.95,3472985.54
2018-09-04,BTCGBP,5661,5783.22,5634.62,5740.04,318.86,1827788.82
2018-09-03,BTCGBP,5664.34,5709.12,5575.01,5661,291.33,1647175.87
2018-09-02,BTCGBP,5664.66,5770.41,5551.07,5664.34,273.24,1549551.92
2018-09-01,BTCGBP,5427.98,5800,5426.94,5664.66,322.58,1811204.22
2018-08-31,BTCGBP,5399.58,5483.76,5319.99,5427.98,276.41,1493556.64
2018-08-30,BTCGBP,5411.07,5443.72,5241.04,5399.58,258.68,1378159.5
2018-08-29,BTCGBP,5532.36,5558.25,5325,5411.07,268.48,1466510.43
2018-08-28,BTCGBP,5361,5589.99,5340.01,5532.36,347.92,1902731.28
2018-08-27,BTCGBP,5245.8,5390,5210,5361,151.86,797737.78
2018-08-26,BTCGBP,5334.7,5370,5150.01,5245.8,163.21,854943.19
2018-08-25,BTCGBP,5249.99,5350,5199.01,5334.7,184.31,972077.47
2018-08-24,BTCGBP,5125,5250,5060.01,5249.99,207.32,1066376.61
2018-08-23,BTCGBP,4950.01,5135,4935.01,5125,229.78,1159738.81
2018-08-22,BTCGBP,5055,5344.99,4860.56,4950.01,362.08,1846499.4
2018-08-21,BTCGBP,4922.26,5068,4893.25,5055,205.29,1029698.16
2018-08-20,BTCGBP,5131,5148.54,4820.95,4922.26,227.1,1144914.22
2018-08-19,BTCGBP,5092.38,5600,5005,5131,417.18,2162920.55
2018-08-18,BTCGBP,5223.99,5249,5011.02,5092.38,234.61,1201124.0
2018-08-17,BTCGBP,5005.82,5224,4983.01,5223.99,300.34,1537923.69
2018-08-16,BTCGBP,4958.95,5126.32,4921.66,5005.82,227.83,1146220.0
2018-08-15,BTCGBP,4899.4,5249,4892.33,4958.95,359.81,1823223.64
2018-08-14,BTCGBP,4940.09,4940.09,4636.04,4899.4,508.07,2422612.56
2018-08-13,BTCGBP,4975.42,5140,4850,4940.09,290.58,1450379.11
2018-08-12,BTCGBP,4859.02,4859.02,4859.02,4859.02,0.0,0.0
2018-08-11,BTCGBP,4870.71,4893.53,4764.08,4859.02,130.01,630029.36
2018-08-10,BTCGBP,5120.01,5160.96,4725,4870.71,478.03,2380528.4
2018-08-09,BTCGBP,4895.19,5207.98,4828.58,5120.01,376.85,1883472.07
2018-08-08,BTCGBP,5210.01,5215.5,4763.35,4895.19,574.93,2858171.36
2018-08-07,BTCGBP,5366.08,5529.9,5158.04,5210.01,264.48,1428269.56
2018-08-06,BTCGBP,5434.38,5520,5300.01,5366.08,247.99,1336933.98
2018-08-05,BTCGBP,5449.9,5468.92,5327.14,5434.38,206.46,1116831.45
2018-08-04,BTCGBP,5736.2,5790,5365.07,5449.9,264.23,1470609.41
2018-08-03,BTCGBP,5821.01,5821.01,5624.3,5736.2,280.89,1604668.86
2018-08-02,BTCGBP,5817.18,5909.61,5740.07,5821.01,180.23,1048514.64
2018-08-01,BTCGBP,5915.01,5918.49,5680.43,5817.18,258.49,1496512.56
2018-07-31,BTCGBP,6239.59,6245.69,5852.64,5915.01,328.65,1965854.85
2018-07-30,BTCGBP,6282.9,6320,5996.59,6239.59,257.59,1593511.37
2018-07-29,BTCGBP,6280,6333.91,6225.03,6282.9,141.62,889465.71
2018-07-28,BTCGBP,6264.99,6310,6170,6280,187.25,1170608.07
2018-07-27,BTCGBP,6064.98,6370.66,5975.01,6264.99,292.23,1800069.97
2018-07-26,BTCGBP,6215.01,6348.95,6015,6064.98,278.2,1734272.59
2018-07-25,BTCGBP,6414.51,6468.99,6130.01,6215.01,325.93,2044366.27
2018-07-24,BTCGBP,5920.74,6450,5910.18,6414.51,485.17,3029443.23
2018-07-23,BTCGBP,5660.67,5989.41,5650,5920.74,278.58,1643611.0
2018-07-22,BTCGBP,5723.16,5780,5618.51,5660.67,218.25,1248947.12
2018-07-21,BTCGBP,5624.51,5741,5536.16,5723.16,156.36,886911.92
2018-07-20,BTCGBP,5773.24,5861.25,5560.28,5624.51,254.23,1449054.65
2018-07-19,BTCGBP,5664.99,5810.38,5580.01,5773.24,220.8,1262039.18
2018-07-18,BTCGBP,5609.54,5800,5540.01,5664.99,351.74,2002364.54
2018-07-17,BTCGBP,5082.23,5700,5060.02,5609.54,439.34,2358266.0
2018-07-16,BTCGBP,4823.05,5110.27,4815.01,5082.23,315.78,1578692.18
2018-07-15,BTCGBP,4792.43,4847.99,4732.45,4823.05,130.15,626078.2
2018-07-14,BTCGBP,4731.43,4822.96,4725.19,4792.43,117.2,560035.43
2018-07-13,BTCGBP,4751.52,4804.99,4661.21,4731.43,185.33,880629.47
2018-07-12,BTCGBP,4841.44,4848.08,4647.8,4751.52,206.33,972607.17
2018-07-11,BTCGBP,4776.76,4852.21,4764.37,4841.44,189.41,912306.87
2018-07-10,BTCGBP,5051.01,5058.95,4775.01,4776.76,223.22,1088167.17
2018-07-09,BTCGBP,5065.78,5141.2,5015.01,5051.01,173.62,880981.85
2018-07-08,BTCGBP,5108.98,5114.4,5046.97,5065.78,92.73,472195.74
2018-07-07,BTCGBP,5018.67,5139.19,4950.86,5108.98,108.17,541320.59
2018-07-06,BTCGBP,4969.05,5020.1,4904.01,5018.67,125.05,620785.05
2018-07-05,BTCGBP,4995.95,5060,4909.52,4969.05,176.09,880502.7
2018-07-04,BTCGBP,4956.7,5126.3,4890,4995.95,194.58,979549.2
2018-07-03,BTCGBP,5061.72,5089.99,4925.11,4956.7,182.21,915820.25
2018-07-02,BTCGBP,4829.05,5109.95,4794.01,5061.72,252.3,1257927.56
2018-07-01,BTCGBP,4858.19,4890,4795.14,4829.05,147.94,716997.41
2018-06-30,BTCGBP,4716.4,4920,4708.15,4858.19,188.15,911365.45
2018-06-29,BTCGBP,4509.64,4763.21,4434.07,4716.4,267.27,1204826.4
2018-06-28,BTCGBP,4716.33,4729,4474.78,4509.64,193.92,899011.67
2018-06-27,BTCGBP,4624.86,4724.61,4573.54,4716.33,195.44,909744.36
2018-06-26,BTCGBP,4726.79,4759.26,4600,4624.86,174.08,818578.08
2018-06-25,BTCGBP,4659.9,4790.04,4606.34,4726.79,251.4,1185750.69
2018-06-24,BTCGBP,4675.11,4747.18,4364.06,4659.9,323.1,1465161.75
2018-06-23,BTCGBP,4587.38,4751.19,4569.02,4675.11,194.05,901715.25
2018-06-22,BTCGBP,5101.99,5101.99,4512.13,4587.38,493.33,2325948.96
2018-06-21,BTCGBP,5150,5207.11,5060.07,5101.99,158.98,814596.03
2018-06-20,BTCGBP,5148.5,5170.4,5020.01,5150,207.11,1056766.08
2018-06-19,BTCGBP,5088.01,5214.28,5057.63,5148.5,187.74,962802.1
2018-06-18,BTCGBP,4881.98,5143.75,4841.64,5088.01,202.2,1002444.9
2018-06-17,BTCGBP,4910.01,4958.38,4870.46,4881.98,128.87,634004.97
2018-06-16,BTCGBP,4833.89,4952.6,4800.75,4910.01,126.03,616277.05
2018-06-15,BTCGBP,5031.91,5044.5,4830,4833.89,214.88,1063226.53
2018-06-14,BTCGBP,4745.37,5089.11,4722.78,5031.91,293.88,1442701.06
2018-06-13,BTCGBP,4935.57,4970.1,4612.81,4745.37,388.07,1862865.46
2018-06-12,BTCGBP,5156.65,5165.4,4855.8,4935.57,306.03,1538012.07
2018-06-11,BTCGBP,5083.35,5158.54,4990.95,5156.65,309.33,1571293.29
2018-06-10,BTCGBP,5618.29,5618.29,5010.17,5083.35,510.31,2671682.76
2018-06-09,BTCGBP,5709.11,5750.99,5610,5618.29,100.52,573634.69
2018-06-08,BTCGBP,5741.85,5755.58,5640.09,5709.11,143.13,816056.26
2018-06-07,BTCGBP,5716,5780,5716,5741.85,139.59,802147.37
2018-06-06,BTCGBP,5700,5750.56,5615.27,5716,169.85,965143.79
2018-06-05,BTCGBP,5650.86,5720.32,5555,5700,147.6,832025.22
