date,symbol,open,high,low,close,volume,volume USD
2019-02-28,ETHUSD,134.46,139,131.66,134.83,110197.52,14932073.45
2019-02-27,ETHUSD,135.76,140,125.77,134.46,136295.14,18163540.51
2019-02-26,ETHUSD,137.64,138.85,133.03,135.76,88877.01,12073024.91
2019-02-25,ETHUSD,131.76,141.09,131.03,137.64,152165.95,20876846.84
2019-02-24,ETHUSD,157.56,165.62,131.23,131.76,289173.47,42273182.44
2019-02-23,ETHUSD,146.68,159.91,144.89,157.56,156608.8,24118707.38
2019-02-22,ETHUSD,144.21,147.5,142.26,146.68,81675.88,11920853.02
2019-02-21,ETHUSD,147.19,148.6,141.76,144.21,107936.42,15616218.08
2019-02-20,ETHUSD,142.69,148.4,138.65,147.19,133027.38,19164956.95
2019-02-19,ETHUSD,144.56,149.47,142.46,142.69,167193.66,24386570.28
2019-02-18,ETHUSD,132.34,147.8,131.1,144.56,309053.04,43193605.47
2019-02-17,ETHUSD,121.56,134.14,121.38,132.34,181894.41,23211216.0
2019-02-16,ETHUSD,120.42,123.6,120.42,121.56,36254.96,4413185.05
2019-02-15,ETHUSD,119.39,123.57,119.13,120.42,58334.1,7049612.2
2019-02-14,ETHUSD,120.74,123.22,118.73,119.39,73049.76,8833930.38
2019-02-13,ETHUSD,120.82,125,119.51,120.74,85302.86,10363670.07
2019-02-12,ETHUSD,119.55,122.3,117,120.82,98743.69,11817549.12
2019-02-11,ETHUSD,123.94,124.11,118.27,119.55,120784.37,14506668.41
2019-02-10,ETHUSD,118.06,125.28,115.04,123.94,87908.82,10524589.78
2019-02-09,ETHUSD,117.98,119.77,116.55,118.06,65483.01,7714412.45
2019-02-08,ETHUSD,103.21,122,102.29,117.98,209786.62,23550238.26
2019-02-07,ETHUSD,103.36,104.77,102.75,103.21,46433.32,4814451.44
2019-02-06,ETHUSD,106,106.31,100.15,103.36,95206.15,9771491.95
2019-02-05,ETHUSD,106.08,106.5,105.08,106,39933.21,4227740.74
2019-02-04,ETHUSD,105.94,107.85,105.29,106.08,45291.52,4812437.9
2019-02-03,ETHUSD,109.3,110,104.52,105.94,62708.43,6714716.27
2019-02-02,ETHUSD,105.88,109.98,105.16,109.3,55967.1,5990001.2
2019-02-01,ETHUSD,105.79,107.69,103,105.88,86088.64,9064660.56
2019-01-31,ETHUSD,107.61,109.97,104.83,105.79,82650.37,8835050.51
2019-01-30,ETHUSD,104.02,109.45,102.9,107.61,108822.86,11618524.08
2019-01-29,ETHUSD,105.47,105.98,102.16,104.02,76287.24,7957296.49
2019-01-28,ETHUSD,111.35,112.1,100.9,105.47,161457.03,17011109.49
2019-01-27,ETHUSD,115.01,115.45,110.3,111.35,61836.44,7009092.55
2019-01-26,ETHUSD,114.95,117.47,114.78,115.01,41492.11,4802290.0
2019-01-25,ETHUSD,116.4,117.09,114.04,114.95,75742.68,8751981.6
2019-01-24,ETHUSD,116.55,117.11,113.62,116.4,58126.89,6734058.67
2019-01-23,ETHUSD,118.1,118.9,115.02,116.55,60029.19,7036946.69
2019-01-22,ETHUSD,115.86,119.41,110.86,118.1,112381.06,13100917.61
2019-01-21,ETHUSD,117.43,118.02,113.68,115.86,79637.79,9253637.46
2019-01-20,ETHUSD,123.17,123.7,115.7,117.43,87509.78,10407691.29
2019-01-19,ETHUSD,119.53,126.3,119.53,123.17,84962.36,10514399.35
2019-01-18,ETHUSD,122.55,122.88,118.18,119.53,65062.23,7841060.99
2019-01-17,ETHUSD,122.12,123.83,117.12,122.55,113295.27,13712411.91
2019-01-16,ETHUSD,120.06,127.6,119,122.12,142720.14,17419048.09
2019-01-15,ETHUSD,128.37,130.61,116.91,120.06,190531.32,23596292.97
2019-01-14,ETHUSD,115.55,131.7,115.34,128.37,195432.97,24379145.56
