date,symbol,open,high,low,close,volume,volume To
2018-10-03,LTCEUR,51.61,51.61,49,49.81,21095.46,1054199.71
2018-10-02,LTCEUR,52.18,53.29,51.13,51.61,15434.54,805990.23
2018-10-01,LTCEUR,52.72,53.44,51.31,52.18,14588.8,763995.63
2018-09-30,LTCEUR,53.17,54.2,51.65,52.72,13666.54,721254.64
2018-09-29,LTCEUR,53.47,53.65,51.11,53.17,15319.63,807212.86
2018-09-28,LTCEUR,54.15,55.56,52.2,53.47,24145.93,1294392.01
2018-09-27,LTCEUR,49,56,48.54,54.15,49201.25,2628439.38
2018-09-26,LTCEUR,49.14,51,48.26,49,25299.63,1255983.35
2018-09-25,LTCEUR,49.51,49.51,46.2,49.14,19945.78,955269.68
2018-09-24,LTCEUR,52.32,52.33,48.72,49.51,21485.64,1070949.23
2018-09-23,LTCEUR,51.73,54.04,51.15,52.32,17609.24,927188.54
2018-09-22,LTCEUR,52.1,52.6,49.36,51.73,16787.99,854642.11
2018-09-21,LTCEUR,48.15,53.5,48.1,52.1,37929.75,1904646.4
2018-09-20,LTCEUR,46.48,48.85,45.66,48.15,12856.68,599467.77
2018-09-19,LTCEUR,46.26,47.3,44.51,46.48,14511.86,668297.27
2018-09-18,LTCEUR,44.95,47.44,43.3,46.26,16901.67,770408.91
2018-09-17,LTCEUR,49.05,49.72,44.15,44.95,19696.68,917388.64
2018-09-16,LTCEUR,48.79,49.47,46.55,49.05,11007.28,532149.6
2018-09-15,LTCEUR,48.43,50.5,47.47,48.79,10591.57,522773.73
2018-09-14,LTCEUR,46.56,50.6,45.45,48.43,22959.6,1101327.92
2018-09-13,LTCEUR,44.55,47.45,44.55,46.56,20314.4,939622.61
2018-09-12,LTCEUR,44.69,44.88,40.78,44.55,34779.86,1479630.54
2018-09-11,LTCEUR,46.85,47.26,43.27,44.69,17835.39,805204.5
2018-09-10,LTCEUR,47.36,48.8,45.76,46.85,13992.41,657258.68
2018-09-09,LTCEUR,46.34,48.9,45.74,47.36,12135.38,577857.99
2018-09-08,LTCEUR,48.19,49.51,45.56,46.34,15504.57,729630.65
2018-09-07,LTCEUR,49.61,50.37,47.63,48.19,13662.6,669251.12
2018-09-06,LTCEUR,49.82,49.92,46.43,49.61,34788.94,1672031.71
2018-09-05,LTCEUR,58.5,59.2,49.8,49.82,37609.1,2025758.18
2018-09-04,LTCEUR,56.5,60,56.38,58.5,22025.54,1296350.18
2018-09-03,LTCEUR,57.19,57.3,55.55,56.5,12295.51,691429.4
2018-09-02,LTCEUR,56.99,57.67,55.21,57.19,13660.95,772276.05
2018-09-01,LTCEUR,53.46,58.86,53.44,56.99,23124.03,1303021.01
2018-08-31,LTCEUR,51.66,54.68,51.02,53.46,15138.97,802355.03
2018-08-30,LTCEUR,52.65,52.77,50.24,51.66,14208.34,727500.25
2018-08-29,LTCEUR,54.05,54.54,51.64,52.65,16326.63,865889.91
2018-08-28,LTCEUR,51.9,54.74,51.03,54.05,25551.76,1345691.29
2018-08-27,LTCEUR,49.08,52.49,48.7,51.9,14752.03,738528.12
2018-08-26,LTCEUR,49.83,49.83,48.25,49.08,8609.66,422026.07
2018-08-25,LTCEUR,49.88,49.99,49.11,49.83,6932.67,344437.37
2018-08-24,LTCEUR,49.7,50,48.05,49.88,13507.1,664355.09
2018-08-23,LTCEUR,47.48,49.88,47.48,49.7,11084.01,538682.43
2018-08-22,LTCEUR,48.76,51.08,46.6,47.48,21052.26,1029100.46
2018-08-21,LTCEUR,46.7,49.2,46.59,48.76,11902.65,573750.07
2018-08-20,LTCEUR,50.71,51.38,46.64,46.7,20822.66,1024105.86
2018-08-19,LTCEUR,50.66,51.5,49.6,50.71,14026.34,707289.48
2018-08-18,LTCEUR,53.87,54.45,48.83,50.66,11818.79,601716.46
2018-08-17,LTCEUR,48.95,54.26,48.65,53.87,26753.33,1374644.68
2018-08-16,LTCEUR,47.91,50.91,47.83,48.95,18611.5,919879.15
2018-08-15,LTCEUR,48.1,52.88,47.6,47.91,37848.27,1885028.81
2018-08-14,LTCEUR,49.76,49.76,43.57,48.1,40281.73,1849277.36
2018-08-13,LTCEUR,52.1,53.3,49.06,49.76,17593.12,903343.64
2018-08-12,LTCEUR,49.21,49.21,49.21,49.21,0.0,0.0
2018-08-11,LTCEUR,51.91,51.92,48.26,49.21,14677.84,730388.09
2018-08-10,LTCEUR,54.98,55.88,51.25,51.91,16886.84,905231.36
2018-08-09,LTCEUR,53.37,56.5,51.96,54.98,22115.51,1203238.09
2018-08-08,LTCEUR,58.22,58.36,52.55,53.37,33738.82,1870853.69
2018-08-07,LTCEUR,63.7,64.94,57.5,58.22,24308.17,1487864.16
2018-08-06,LTCEUR,64.68,66.29,62.57,63.7,10499.38,672913.98
2018-08-05,LTCEUR,63.52,64.69,63.01,64.68,7416.54,474133.14
2018-08-04,LTCEUR,67.2,67.43,63,63.52,11954.9,775336.23
2018-08-03,LTCEUR,65.85,67.42,64.66,67.2,16393.06,1077410.71
2018-08-02,LTCEUR,66.65,67.2,65.27,65.85,10461.82,691474.47
2018-08-01,LTCEUR,67.62,67.62,65.11,66.65,17923.95,1187881.78
2018-07-31,LTCEUR,70.28,70.43,65.1,67.62,20252.95,1357322.68
2018-07-30,LTCEUR,72.09,72.59,68.3,70.28,11505.42,810077.07
2018-07-29,LTCEUR,72.05,73,71.61,72.09,4419.73,318623.11
2018-07-28,LTCEUR,72.64,72.77,71.22,72.05,5407.21,389183.44
2018-07-27,LTCEUR,71.8,73,70.06,72.64,14273.34,1021532.27
2018-07-26,LTCEUR,73.69,75.19,71.13,71.8,18431.0,1356231.69
2018-07-25,LTCEUR,76.43,77.3,72.89,73.69,22024.21,1635625.33
2018-07-24,LTCEUR,70.02,76.79,69.53,76.43,31758.39,2369480.45
2018-07-23,LTCEUR,70.25,73.27,70,70.02,16114.78,1157956.1
