date,symbol,open,high,low,close,volume,volume USD
2019-03-01,XRPUSD,0.3121,0.3133,0.3121,0.3133,0.0,0.0
2019-02-28,XRPUSD,0.3091,0.3158,0.305,0.3121,13083748.75,4059682.84
2019-02-27,XRPUSD,0.3159,0.3173,0.298,0.3091,13965391.58,4335681.72
2019-02-26,XRPUSD,0.327,0.333,0.3105,0.3159,21837336.58,6952331.3
2019-02-25,XRPUSD,0.2967,0.3392,0.2955,0.327,30820194.81,9847551.13
2019-02-24,XRPUSD,0.3313,0.3419,0.2938,0.2967,27122712.36,8537319.64
2019-02-23,XRPUSD,0.319,0.3333,0.3156,0.3313,11271037.44,3654157.81
2019-02-22,XRPUSD,0.3174,0.3209,0.3115,0.319,8597313.33,2729850.66
2019-02-21,XRPUSD,0.3285,0.33,0.3136,0.3174,10772668.82,3442720.26
2019-02-20,XRPUSD,0.3211,0.3318,0.3162,0.3285,16113001.88,5222562.1
2019-02-19,XRPUSD,0.3187,0.3452,0.3175,0.3211,24698373.7,8158012.84
2019-02-18,XRPUSD,0.2996,0.327,0.2984,0.3187,24121439.84,7562593.18
2019-02-17,XRPUSD,0.2974,0.303,0.2928,0.2996,8949967.52,2668742.4
2019-02-16,XRPUSD,0.2989,0.3005,0.2962,0.2974,5409308.42,1614615.24
2019-02-15,XRPUSD,0.2977,0.3028,0.2952,0.2989,12155305.78,3627227.66
2019-02-14,XRPUSD,0.3004,0.302,0.297,0.2977,9840110.64,2950725.61
2019-02-13,XRPUSD,0.3009,0.3094,0.295,0.3004,11851892.04,3574324.65
2019-02-12,XRPUSD,0.2989,0.3043,0.2941,0.3009,13368930.18,3990014.25
2019-02-11,XRPUSD,0.3074,0.3077,0.2983,0.2989,11326300.28,3400782.9
2019-02-10,XRPUSD,0.3085,0.309,0.2962,0.3074,15436936.3,4663656.2
2019-02-09,XRPUSD,0.3089,0.3126,0.304,0.3085,9348227.58,2875911.11
2019-02-08,XRPUSD,0.2881,0.319,0.2864,0.3089,22928877.87,6877477.39
2019-02-07,XRPUSD,0.2859,0.2906,0.2854,0.2881,9107273.05,2626509.47
2019-02-06,XRPUSD,0.2961,0.297,0.285,0.2859,14193793.35,4091755.13
2019-02-05,XRPUSD,0.295,0.2993,0.2922,0.2961,6458866.37,1901358.98
2019-02-04,XRPUSD,0.2986,0.3018,0.2935,0.295,6435740.65,1909383.33
2019-02-03,XRPUSD,0.3071,0.3089,0.2943,0.2986,8839762.5,2656872.28
2019-02-02,XRPUSD,0.3044,0.3108,0.301,0.3071,12009175.8,3652131.79
2019-02-01,XRPUSD,0.3074,0.3091,0.2931,0.3044,13568984.45,4078946.83
2019-01-31,XRPUSD,0.3193,0.3334,0.3011,0.3074,17566373.42,5538984.21
2019-01-30,XRPUSD,0.2861,0.3238,0.2827,0.3193,21292430.99,6620513.88
2019-01-29,XRPUSD,0.2925,0.294,0.2808,0.2861,10685654.79,3065874.89
2019-01-28,XRPUSD,0.3049,0.3059,0.2802,0.2925,18895593.96,5499889.91
2019-01-27,XRPUSD,0.3113,0.3129,0.301,0.3049,5752104.1,1765854.5
2019-01-26,XRPUSD,0.3139,0.3182,0.3107,0.3113,4885295.33,1531205.36
2019-01-25,XRPUSD,0.3152,0.3171,0.31,0.3139,5394044.02,1689527.7
2019-01-24,XRPUSD,0.314,0.318,0.31,0.3152,5131400.59,1612422.27
2019-01-23,XRPUSD,0.3181,0.3197,0.3123,0.314,9724763.36,3072062.96
2019-01-22,XRPUSD,0.3183,0.3206,0.3055,0.3181,11251473.24,3555194.22
2019-01-21,XRPUSD,0.3174,0.3216,0.3135,0.3183,5344217.31,1692390.46
2019-01-20,XRPUSD,0.3285,0.3299,0.3103,0.3174,7289613.27,2313731.06
